walk_size, nworkers, batch_size, |V|, |E|, tempo, memoria
10,2,5,12,12,1.6421358585357666,559264
10,2,5,12,12,1.713965892791748,559916
10,2,5,12,12,1.6760764122009277,559808
10,2,5,12,12,1.657865285873413,557984
12,2,5,8,7,0.9980771541595459,559352
12,2,5,8,7,0.9328224658966064,558348
12,2,5,8,7,0.9789419174194336,558204
12,2,5,8,7,0.8319025039672852,559464
12,2,5,8,7,0.9505982398986816,558300
14,2,5,13,13,13.905348777770996,557796
14,2,5,13,13,14.075315952301025,558748
14,2,5,13,13,14.572431087493896,558632
14,2,5,13,13,15.1955087184906,558792
14,2,5,13,13,14.64434814453125,558396
16,2,5,7,6,0.9108066558837891,558688
16,2,5,7,6,0.897230863571167,558988
16,2,5,7,6,0.906754732131958,558812
16,2,5,7,6,0.9097087383270264,559164
16,2,5,7,6,0.8748259544372559,560076
18,2,5,10,9,1.1682767868041992,557596
18,2,5,10,9,1.136044979095459,557636
18,2,5,10,9,1.0716509819030762,557288
18,2,5,10,9,1.1203670501708984,557468
18,2,5,10,9,1.1534051895141602,557684
2,2,15,6,5,0.5404956340789795,560340
2,2,15,6,5,0.5367956161499023,560468
2,2,15,6,5,0.6073908805847168,561004
2,2,15,6,5,0.5523471832275391,560344
2,2,15,6,5,0.5567145347595215,559972
4,2,15,8,7,0.5725388526916504,560164
4,2,15,8,7,0.5832004547119141,559984
4,2,15,8,7,0.5541999340057373,560504
4,2,15,8,7,0.601402759552002,559864
4,2,15,8,7,0.5670502185821533,559944
6,2,15,8,7,0.5880715847015381,560524
6,2,15,8,7,0.5729250907897949,559940
6,2,15,8,7,0.5716428756713867,560192
6,2,15,8,7,0.5808193683624268,559972
6,2,15,8,7,0.581592321395874,560136
8,2,15,14,13,0.7100307941436768,560096
8,2,15,14,13,0.7216343879699707,560280
8,2,15,14,13,0.8623197078704834,560316
8,2,15,14,13,0.7801997661590576,560068
8,2,15,14,13,0.786475658416748,560212
10,2,15,12,12,1.3995788097381592,560504
10,2,15,12,12,1.3328273296356201,559948
10,2,15,12,12,1.421452522277832,559904
10,2,15,12,12,1.3404228687286377,560412
10,2,15,12,12,1.4858121871948242,560676
12,2,15,8,7,0.9608566761016846,560200
12,2,15,8,7,0.9091274738311768,559940
12,2,15,8,7,0.8723037242889404,559912
12,2,15,8,7,0.9334876537322998,559872
12,2,15,8,7,0.8360977172851562,559844
14,2,15,13,13,14.001200437545776,558808
14,2,15,13,13,15.696943759918213,558560
14,2,15,13,13,15.31969141960144,559144
14,2,15,13,13,15.010879278182983,558464
14,2,15,13,13,16.19734501838684,558692
16,2,15,7,6,0.6801934242248535,559908
16,2,15,7,6,0.6501095294952393,560320
16,2,15,7,6,0.6857542991638184,559828
16,2,15,7,6,0.6593506336212158,560164
16,2,15,7,6,0.6735520362854004,561056
18,2,15,10,9,1.066866397857666,557292
18,2,15,10,9,0.9988906383514404,557980
