walk_size, nworkers, batch_size, |V|, |E|, tempo, memoria
8,2,5,8,7,0.3233473300933838,531544
8,2,5,8,7,0.33857178688049316,530660
8,2,5,8,7,0.3409416675567627,531600
8,2,5,8,7,0.3259150981903076,531580
10,2,5,10,10,0.32598090171813965,529772
10,2,5,10,10,0.3641526699066162,529912
10,2,5,10,10,0.3145899772644043,530056
10,2,5,10,10,0.3562436103820801,530020
10,2,5,10,10,0.32554197311401367,529908
12,2,5,8,7,0.3357055187225342,531496
12,2,5,8,7,0.3310837745666504,531616
12,2,5,8,7,0.3423621654510498,530176
12,2,5,8,7,0.37291502952575684,531536
12,2,5,8,7,0.3910186290740967,531400
14,2,5,13,14,0.9137239456176758,531264
14,2,5,13,14,0.729902982711792,529756
14,2,5,13,14,0.9444386959075928,530704
14,2,5,13,14,0.8491780757904053,530968
14,2,5,13,14,0.7775523662567139,529916
16,2,5,11,10,0.5920748710632324,531540
16,2,5,11,10,0.710559606552124,530164
16,2,5,11,10,0.6221127510070801,530412
16,2,5,11,10,0.5725963115692139,530308
16,2,5,11,10,0.584766149520874,530444
18,2,5,7,7,0.2909672260284424,533472
18,2,5,7,7,0.29367804527282715,532580
18,2,5,7,7,0.3020608425140381,533564
18,2,5,7,7,0.2924060821533203,532456
18,2,5,7,7,0.29178571701049805,533136
2,2,15,6,5,0.1980435848236084,530928
2,2,15,6,5,0.2048659324645996,530456
2,2,15,6,5,0.21134376525878906,530860
2,2,15,6,5,0.20893359184265137,530568
2,2,15,6,5,0.19163227081298828,530684
4,2,15,8,7,0.17685151100158691,530904
4,2,15,8,7,0.18659424781799316,530924
4,2,15,8,7,0.18966937065124512,531268
4,2,15,8,7,0.18488121032714844,531240
4,2,15,8,7,0.18132948875427246,531368
6,2,15,8,7,0.1654188632965088,531404
6,2,15,8,7,0.15626907348632812,531028
6,2,15,8,7,0.16523385047912598,531448
6,2,15,8,7,0.16060900688171387,531476
6,2,15,8,7,0.1634073257446289,531428
8,2,15,8,7,0.1474320888519287,530368
8,2,15,8,7,0.14957308769226074,531224
8,2,15,8,7,0.14963769912719727,530600
8,2,15,8,7,0.15099453926086426,531016
8,2,15,8,7,0.14612674713134766,530696
10,2,15,10,10,0.13325810432434082,529868
10,2,15,10,10,0.13535714149475098,529920
10,2,15,10,10,0.13672924041748047,530288
10,2,15,10,10,0.13547682762145996,530036
10,2,15,10,10,0.1409008502960205,530064
12,2,15,8,7,0.14479279518127441,530376
12,2,15,8,7,0.14421725273132324,530628
12,2,15,8,7,0.1484060287475586,531392
12,2,15,8,7,0.14687609672546387,532196
12,2,15,8,7,0.14097142219543457,531516
14,2,15,13,14,0.6582376956939697,530264
14,2,15,13,14,0.6510024070739746,531192
14,2,15,13,14,0.62481689453125,530212
14,2,15,13,14,0.7104618549346924,529796
14,2,15,13,14,0.626591682434082,530128
