nworkers, batch_size, walk_size, speedup, eficiencia,fração, karp_flatt, |E|
8,5,2,1.9919157800081966,0.24898947250102457,0.14170225428688524,0.43089057997702235,5
8,5,4,2.126708493788764,0.2658385617235955,0.1609583562555377,0.3945259287744211,7
8,5,6,2.227374358770601,0.2784217948463251,0.17533919411008586,0.37023897785421467,7
8,5,8,2.2674137760686954,0.28342672200858693,0.1810591108669565,0.3611784041256668,7
8,5,10,2.7790854594447847,0.3473856824305981,0.25415506563496926,0.26837783337329907,10
8,5,12,2.6733779199731815,0.3341722399966477,0.23905398856759735,0.28463839913813466,7
8,5,14,2.8369931288024315,0.35462414110030394,0.2624275898289188,0.25998385497762194,14
8,5,16,2.2169084665643832,0.2771135583205479,0.17384406665205474,0.3726612739353495,10
8,5,18,2.248745405662343,0.28109317570779285,0.1783922008089061,0.3653627472110826,7
8,15,2,2.167977599936784,0.270997199992098,0.16685394284811197,0.38429643238757716,5
8,15,4,2.7315692423001416,0.3414461552875177,0.24736703461430595,0.2755313516240697,7
8,15,6,2.7003011748681724,0.33753764685852156,0.24290016783831034,0.2803760703465423,7
8,15,8,2.532509976810314,0.31656374710128926,0.21892999668718774,0.30841734503118,7
8,15,10,2.976768796480898,0.37209609956011225,0.282395542354414,0.2410682544421756,10
8,15,12,2.6107890300563303,0.3263486287570413,0.23011271857947577,0.2948868225495467,7
8,15,14,3.1098917996077193,0.3887364749509649,0.3014131142296742,0.2246338235492454,14
8,15,16,2.999838298709022,0.37497978733862775,0.2856911855298603,0.23811577269932918,10
8,15,18,2.4636355708014768,0.3079544463501846,0.2090907958287824,0.3210333596189784,7
8,25,2,2.2808583067941046,0.2851072883492631,0.18297975811344352,0.3582073640667893,5
8,25,4,2.4050331275429144,0.3006291409428643,0.20071901822041635,0.3323367868101524,7
8,25,6,2.2243862528312026,0.2780482816039003,0.17491232183302893,0.37092824014570225,7
8,25,8,2.126813698065428,0.2658517122581785,0.16097338543791828,0.39449934675767284,7
8,25,10,2.771076279502143,0.3463845349377679,0.25301089707173474,0.2695664166496603,10
