walk_size, nworkers, batch_size, |V|, |E|, tempo, memoria
14,4,5,24,51,2.2401981353759766,554000
14,4,5,24,51,2.3811774253845215,554100
14,4,5,24,51,2.2216169834136963,554500
14,4,5,24,51,2.5162205696105957,554268
14,4,5,24,51,2.426316976547241,554128
16,4,5,16,30,46.716673374176025,553976
16,4,5,16,30,47.69871687889099,555464
16,4,5,16,30,42.58493423461914,554632
16,4,5,16,30,45.65181875228882,556544
16,4,5,16,30,43.6334969997406,554012
18,4,5,16,24,0.8419127464294434,556208
18,4,5,16,24,0.8298895359039307,555396
18,4,5,16,24,0.8346428871154785,555640
18,4,5,16,24,0.8684985637664795,555952
18,4,5,16,24,0.8307132720947266,554640
2,4,15,13,17,25.39564871788025,556144
2,4,15,13,17,26.262513875961304,556396
2,4,15,13,17,25.241620540618896,557188
2,4,15,13,17,25.71519637107849,555776
2,4,15,13,17,25.328683614730835,556532
4,4,15,10,14,0.5725958347320557,556620
4,4,15,10,14,0.5905702114105225,557880
4,4,15,10,14,0.5617353916168213,556924
4,4,15,10,14,0.6755847930908203,556416
4,4,15,10,14,0.6257491111755371,556448
6,4,15,16,27,5.270939111709595,556504
6,4,15,16,27,5.164361953735352,555988
6,4,15,16,27,5.3517906665802,555728
6,4,15,16,27,5.5506591796875,556128
6,4,15,16,27,5.504278659820557,556036
8,4,15,8,10,0.7838773727416992,556348
8,4,15,8,10,0.8135747909545898,556604
8,4,15,8,10,0.8052694797515869,556460
8,4,15,8,10,0.7947556972503662,556272
8,4,15,8,10,0.7796790599822998,556328
10,4,15,4,6,0.59830641746521,556400
10,4,15,4,6,0.6000323295593262,556716
10,4,15,4,6,0.5972921848297119,557932
10,4,15,4,6,0.5950839519500732,556432
10,4,15,4,6,0.6333081722259521,556872
12,4,15,19,36,3.1729087829589844,556084
12,4,15,19,36,3.0151760578155518,557192
12,4,15,19,36,2.8684568405151367,556196
12,4,15,19,36,3.0593082904815674,556536
12,4,15,19,36,3.343416452407837,556036
14,4,15,24,51,1.7372643947601318,555112
14,4,15,24,51,1.8302264213562012,554572
14,4,15,24,51,1.5093443393707275,555688
14,4,15,24,51,1.8301799297332764,555428
14,4,15,24,51,1.6662557125091553,555560
16,4,15,16,30,36.89461803436279,556620
16,4,15,16,30,38.13050675392151,556040
16,4,15,16,30,37.13571262359619,556260
16,4,15,16,30,38.471274852752686,556508
16,4,15,16,30,34.247241258621216,556228
18,4,15,16,24,0.7084810733795166,556876
18,4,15,16,24,0.7330083847045898,556712
18,4,15,16,24,0.6502723693847656,557008
18,4,15,16,24,0.8361828327178955,556428
18,4,15,16,24,0.7655231952667236,556544
2,4,25,13,17,20.94583225250244,556648
2,4,25,13,17,17.910781860351562,556280
2,4,25,13,17,18.115174055099487,556676
2,4,25,13,17,19.695289373397827,556560
2,4,25,13,17,21.577691316604614,556440
4,4,25,10,14,0.413646936416626,557752
4,4,25,10,14,0.4152860641479492,557016
4,4,25,10,14,0.42071032524108887,558056
4,4,25,10,14,0.40882253646850586,557100
4,4,25,10,14,0.39316678047180176,557852
6,4,25,16,27,5.020321607589722,556064
6,4,25,16,27,4.7576048374176025,556644
6,4,25,16,27,4.783503532409668,556188
6,4,25,16,27,4.690986156463623,556264
6,4,25,16,27,4.7238242626190186,556272
8,4,25,8,10,0.529043436050415,557552
8,4,25,8,10,0.5126564502716064,558600
8,4,25,8,10,0.5378780364990234,557792
8,4,25,8,10,0.6737196445465088,557596
8,4,25,8,10,0.5832333564758301,557868
10,4,25,4,6,0.3923938274383545,557580
10,4,25,4,6,0.39942145347595215,558592
10,4,25,4,6,0.4225037097930908,557680
10,4,25,4,6,0.3924860954284668,558620
10,4,25,4,6,0.3959312438964844,557364
12,4,25,19,36,2.3881049156188965,556460
12,4,25,19,36,2.9795730113983154,556372
12,4,25,19,36,2.704735040664673,556020
12,4,25,19,36,2.732278347015381,555932
12,4,25,19,36,2.436692237854004,556512
14,4,25,24,51,1.496933937072754,554912
14,4,25,24,51,1.4329981803894043,555136
14,4,25,24,51,1.4458818435668945,554780
14,4,25,24,51,1.2730698585510254,555056
14,4,25,24,51,1.4639205932617188,555588
16,4,25,16,30,26.80510711669922,556496
16,4,25,16,30,26.5931396484375,556380
16,4,25,16,30,26.775718212127686,556484
16,4,25,16,30,26.146552801132202,556340
16,4,25,16,30,24.735140800476074,556260
18,4,25,16,24,0.48326826095581055,557308
18,4,25,16,24,0.47750306129455566,557544
18,4,25,16,24,0.48210811614990234,558152
18,4,25,16,24,0.5066423416137695,557896
18,4,25,16,24,0.5012044906616211,557644
2,8,5,13,17,20.349297523498535,555228
2,8,5,13,17,19.637293577194214,555392
2,8,5,13,17,22.124030590057373,555160
2,8,5,13,17,20.183072566986084,555124
2,8,5,13,17,20.234314441680908,555376
4,8,5,10,14,0.7385261058807373,556716
4,8,5,10,14,0.7121405601501465,555416
4,8,5,10,14,0.6943132877349854,555916
4,8,5,10,14,0.7230656147003174,555584
4,8,5,10,14,0.6433017253875732,555468
6,8,5,16,27,4.105558156967163,554908
6,8,5,16,27,4.341694116592407,556520
6,8,5,16,27,4.3512701988220215,555564
6,8,5,16,27,4.906506776809692,555716
6,8,5,16,27,4.237929582595825,555208
8,8,5,8,10,0.6198024749755859,556620
8,8,5,8,10,0.6987874507904053,555596
8,8,5,8,10,0.6357917785644531,555464
8,8,5,8,10,0.6313681602478027,555596
8,8,5,8,10,0.6352782249450684,555772
10,8,5,4,6,0.6763708591461182,556732
10,8,5,4,6,0.775970458984375,555544
10,8,5,4,6,0.7334837913513184,558116
10,8,5,4,6,0.6990318298339844,555784
10,8,5,4,6,0.7033200263977051,556532
12,8,5,19,36,2.622157573699951,555368
12,8,5,19,36,2.8363583087921143,556444
12,8,5,19,36,2.4726486206054688,555204
12,8,5,19,36,3.0436174869537354,555652
12,8,5,19,36,2.5842912197113037,556112
14,8,5,24,51,2.0379199981689453,554508
14,8,5,24,51,2.1841378211975098,555548
14,8,5,24,51,2.073606014251709,554296
14,8,5,24,51,1.7588768005371094,554924
14,8,5,24,51,1.782938003540039,555388
16,8,5,16,30,29.329623460769653,555408
16,8,5,16,30,29.64982509613037,555404
16,8,5,16,30,29.56496262550354,555472
16,8,5,16,30,31.577186822891235,555188
16,8,5,16,30,29.14494276046753,555436
18,8,5,16,24,0.7746851444244385,555700
18,8,5,16,24,0.7488152980804443,555588
18,8,5,16,24,0.7776596546173096,556908
18,8,5,16,24,0.7333319187164307,556672
18,8,5,16,24,0.7223403453826904,556100
2,8,15,13,17,18.312281847000122,556392
2,8,15,13,17,18.93705725669861,555096
2,8,15,13,17,17.17190432548523,555576
2,8,15,13,17,19.091585159301758,554912
2,8,15,13,17,16.725857734680176,555252
4,8,15,10,14,0.3592352867126465,556728
4,8,15,10,14,0.3969764709472656,556712
4,8,15,10,14,0.39124250411987305,556888
4,8,15,10,14,0.4136378765106201,556152
4,8,15,10,14,0.40708255767822266,555944
6,8,15,16,27,4.284872055053711,556052
6,8,15,16,27,4.73603630065918,556172
6,8,15,16,27,3.6795456409454346,555672
6,8,15,16,27,3.9775660037994385,555332
6,8,15,16,27,4.389681339263916,556092
8,8,15,8,10,0.51666259765625,556584
8,8,15,8,10,0.49146175384521484,555652
8,8,15,8,10,0.5006918907165527,556448
8,8,15,8,10,0.5278184413909912,555252
8,8,15,8,10,0.5257232189178467,556468
10,8,15,4,6,0.338594913482666,556864
10,8,15,4,6,0.36072754859924316,557628
10,8,15,4,6,0.38115477561950684,556532
10,8,15,4,6,0.35355067253112793,556548
10,8,15,4,6,0.37053990364074707,557592
12,8,15,19,36,2.1708931922912598,557212
12,8,15,19,36,1.8951904773712158,556264
12,8,15,19,36,2.2676379680633545,556848
12,8,15,19,36,2.378178834915161,555712
12,8,15,19,36,2.2090039253234863,554956
14,8,15,24,51,1.5373904705047607,555792
14,8,15,24,51,1.2943236827850342,555836
14,8,15,24,51,1.2537906169891357,555232
14,8,15,24,51,1.3442425727844238,554508
14,8,15,24,51,1.3356246948242188,554812
16,8,15,16,30,25.071722269058228,556184
16,8,15,16,30,25.575572729110718,555484
16,8,15,16,30,23.319036722183228,555088
16,8,15,16,30,22.667413473129272,557152
16,8,15,16,30,21.658514976501465,555148
18,8,15,16,24,0.42951059341430664,556448
18,8,15,16,24,0.431002140045166,556256
18,8,15,16,24,0.4367489814758301,556600
18,8,15,16,24,0.40268635749816895,557376
18,8,15,16,24,0.42990851402282715,555984
2,8,25,13,17,18.15000820159912,555628
2,8,25,13,17,17.706680059432983,555584
2,8,25,13,17,17.61639976501465,554836
2,8,25,13,17,18.149466276168823,556152
2,8,25,13,17,19.046366453170776,555136
4,8,25,10,14,0.3958613872528076,556124
4,8,25,10,14,0.3955380916595459,556320
4,8,25,10,14,0.4069674015045166,556320
4,8,25,10,14,0.4420647621154785,555928
4,8,25,10,14,0.4106614589691162,555908
6,8,25,16,27,4.519404172897339,555364
6,8,25,16,27,4.886536121368408,555700
6,8,25,16,27,4.551048040390015,555216
6,8,25,16,27,4.460137128829956,554860
6,8,25,16,27,4.537310361862183,556588
8,8,25,8,10,0.6441903114318848,555892
8,8,25,8,10,0.5623219013214111,555440
8,8,25,8,10,0.549283504486084,555764
8,8,25,8,10,0.5499792098999023,556788
8,8,25,8,10,0.5998413562774658,555948
10,8,25,4,6,0.41983509063720703,556720
10,8,25,4,6,0.3842930793762207,556692
10,8,25,4,6,0.3866147994995117,556040
10,8,25,4,6,0.3737781047821045,556156
10,8,25,4,6,0.3836791515350342,555868
12,8,25,19,36,2.762242317199707,555372
12,8,25,19,36,2.6782679557800293,555348
12,8,25,19,36,2.5314624309539795,556552
12,8,25,19,36,2.7372398376464844,555444
12,8,25,19,36,2.626797914505005,555428
14,8,25,24,51,1.2399511337280273,554972
14,8,25,24,51,1.1858241558074951,555204
14,8,25,24,51,1.4056642055511475,555488
14,8,25,24,51,1.3242433071136475,555752
14,8,25,24,51,1.2591383457183838,555004
16,8,25,16,30,21.894084692001343,555484
16,8,25,16,30,22.6904718875885,555208
16,8,25,16,30,22.631337642669678,555236
16,8,25,16,30,22.1651873588562,555124
16,8,25,16,30,22.032031536102295,556448
18,8,25,16,24,0.4949195384979248,556492
18,8,25,16,24,0.45692896842956543,556176
18,8,25,16,24,0.4789724349975586,555856
18,8,25,16,24,0.48259496688842773,556316
18,8,25,16,24,0.4692854881286621,555524
